TIME,MAX,MIN,RF
1975-01-01,20.7,11.4,16.0
1975-01-02,11.0,8.2,0.0
1975-01-03,17.3,9.4,0.0
1975-01-04,17.5,11.5,0.0
1975-01-05,18.5,10.5,0.0
1975-01-06,19.4,8.6,0.0
1975-01-07,19.2,8.6,0.0
1975-01-08,19.0,9.6,0.0
1975-01-09,17.1,12.0,0.0
1975-01-10,17.3,10.0,0.0
1975-01-11,19.0,11.0,0.0
1975-01-12,19.0,11.0,0.0
1975-01-13,19.5,11.2,0.0
1975-01-14,19.7,9.1,0.0
1975-01-15,20.0,12.0,0.0
1975-01-16,17.3,11.0,0.0
1975-01-17,20.0,8.7,0.0
1975-01-18,18.5,8.5,0.0
1975-01-19,18.5,8.5,0.0
1975-01-20,17.4,8.0,0.0
1975-01-21,19.5,8.2,0.0
1975-01-22,18.6,10.8,0.0
1975-01-23,18.4,11.0,0.0
1975-01-24,17.2,7.6,0.0
1975-01-25,18.3,9.5,0.0
1975-01-26,18.0,9.0,0.0
1975-01-27,19.3,10.9,0.0
1975-01-28,21.0,9.8,0.0
1975-01-29,21.0,11.4,0.0
1975-01-30,19.5,11.0,3.0
1975-01-31,15.6,12.0,0.0
1975-02-01,19.5,11.0,0.0
1975-02-02,18.6,11.0,0.0
1975-02-03,19.7,9.0,0.0
1975-02-04,19.7,9.5,0.0
1975-02-05,20.5,9.5,0.0
1975-02-06,20.7,13.0,0.0
1975-02-07,21.2,10.7,0.0
1975-02-08,23.4,8.5,0.0
1975-02-09,24.8,6.9,0.0
1975-02-10,22.6,5.7,0.0
1975-02-11,21.0,4.6,0.0
1975-02-12,22.0,4.8,0.0
1975-02-13,23.6,9.6,0.0
1975-02-14,24.8,6.0,0.0
1975-02-15,19.0,3.5,0.0
1975-02-16,19.5,3.0,0.0
1975-02-17,20.0,0.1,0.0
1975-02-18,18.6,0.5,0.0
1975-02-19,20.5,6.5,0.0
1975-02-20,21.4,7.0,4.0
1975-02-21,23.0,8.3,0.0
1975-02-22,21.5,4.5,0.0
1975-02-23,23.585,9.526315789473685,0.0
1975-02-24,24.4,8.0,0.0
1975-02-25,25.2,8.4,0.0
1975-02-26,26.3,10.0,0.0
1975-02-27,25.6,9.0,0.0
1975-02-28,26.3,10.8,0.0
1975-03-01,27.5,8.5,0.0
1975-03-02,24.20731707317073,10.512195121951219,0.0
1975-03-03,27.1,10.8,0.0
1975-03-04,27.6,13.6,0.0
1975-03-05,31.7,15.1,0.0
1975-03-06,29.3,13.2,0.0
1975-03-07,25.59047619047619,11.04047619047619,0.0
1975-03-08,28.5,8.5,0.0
1975-03-09,26.046341463414635,11.935897435897436,0.0
1975-03-10,28.3,13.0,2.0
1975-03-11,26.664285714285718,12.548780487804878,0.0
1975-03-12,27.1,10.0,0.0
1975-03-13,24.3,8.4,0.0
1975-03-14,24.4,9.5,0.0
1975-03-15,26.523255813953487,12.732558139534884,0.0
1975-03-16,27.5,8.0,0.0
1975-03-17,27.6,10.8,0.0
1975-03-18,28.2,11.2,0.0
1975-03-19,28.8,8.1,0.0
1975-03-20,30.0,15.0,0.0
1975-03-21,30.6,14.2,0.0
1975-03-22,32.0,12.5,8.0
1975-03-23,29.5,11.5,5.0
1975-03-24,25.8,12.6,10.0
1975-03-25,27.3,11.1,0.0
