INDEX,YEAR,MN,DT,MAX,MIN,RF
42137,1975,1,1,20.7,11.4,16.0
42137,1975,1,2,11.0,8.2,0.0
42137,1975,1,3,17.3,9.4,0.0
42137,1975,1,4,17.5,11.5,0.0
42137,1975,1,5,18.5,10.5,0.0
42137,1975,1,6,19.4,8.6,0.0
42137,1975,1,7,19.2,8.6,0.0
42137,1975,1,8,19.0,9.6,0.0
42137,1975,1,9,17.1,12.0,0.0
42137,1975,1,10,17.3,10.0,0.0
42137,1975,1,11,19.0,11.0,0.0
42137,1975,1,12,19.0,11.0,0.0
42137,1975,1,13,19.5,11.2,0.0
42137,1975,1,14,19.7,9.1,0.0
42137,1975,1,15,20.0,12.0,0.0
42137,1975,1,16,17.3,11.0,0.0
42137,1975,1,17,20.0,8.7,0.0
42137,1975,1,18,18.5,8.5,0.0
42137,1975,1,19,18.5,8.5,0.0
42137,1975,1,20,17.4,8.0,0.0
42137,1975,1,21,19.5,8.2,0.0
42137,1975,1,22,18.6,10.8,0.0
42137,1975,1,23,18.4,11.0,0.0
42137,1975,1,24,17.2,7.6,0.0
42137,1975,1,25,18.3,9.5,0.0
42137,1975,1,26,18.0,9.0,0.0
42137,1975,1,27,19.3,10.9,0.0
42137,1975,1,28,21.0,9.8,0.0
42137,1975,1,29,21.0,11.4,0.0
42137,1975,1,30,19.5,11.0,3.0
42137,1975,1,31,15.6,12.0,0.0
42137,1975,2,1,19.5,11.0,0.0
42137,1975,2,2,18.6,11.0,0.0
42137,1975,2,3,19.7,9.0,0.0
42137,1975,2,4,19.7,9.5,0.0
42137,1975,2,5,20.5,9.5,0.0
42137,1975,2,6,20.7,13.0,0.0
42137,1975,2,7,21.2,10.7,0.0
42137,1975,2,8,23.4,8.5,0.0
42137,1975,2,9,24.8,6.9,0.0
42137,1975,2,10,22.6,5.7,0.0
42137,1975,2,11,21.0,4.6,0.0
42137,1975,2,12,22.0,4.8,0.0
42137,1975,2,13,23.6,9.6,0.0
42137,1975,2,14,24.8,6.0,0.0
42137,1975,2,15,19.0,3.5,0.0
42137,1975,2,16,19.5,3.0,0.0
42137,1975,2,17,20.0,0.1,0.0
42137,1975,2,18,18.6,0.5,0.0
42137,1975,2,19,20.5,6.5,0.0
42137,1975,2,20,21.4,7.0,4.0
42137,1975,2,21,23.0,8.3,0.0
42137,1975,2,22,21.5,4.5,0.0
42137,1975,2,23,,,
